mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,decision_flipped
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,warmth,-0.1,-9.25,0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.014895591884851456,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,warmth,-0.1,-8.75,0.125,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-7.190372467041016,-1.8553747217563745,0.014895591884851456,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,-0.05,9.5,-0.625,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.0075628384947776794,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,-0.05,9.875,-0.5,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.00830463133752346,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,warmth,-0.05,10.375,-0.375,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.00830463133752346,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,warmth,-0.05,8.5,-0.875,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.00830463133752346,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,-0.05,-8.375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.00830463133752346,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,-0.05,-9.25,-0.125,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.00830463133752346,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,warmth,-0.05,-9.5,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.00830463133752346,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,warmth,-0.05,-8.625,0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,-3.595186233520508,-0.9276873608781873,0.00830463133752346,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.0,10.125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.0,10.375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,warmth,0.0,10.75,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,warmth,0.0,9.375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.0,-8.375,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.0,-9.125,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,warmth,0.0,-9.5,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,warmth,0.0,-8.875,0.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,0.0,0.0,0.0,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.05,10.375,0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.009499122388660908,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.05,10.625,0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.010092933662235737,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,warmth,0.05,11.0,0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.010092933662235737,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,warmth,0.05,10.125,0.75,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.010092933662235737,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.05,-7.875,0.5,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.010092933662235737,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.05,-8.875,0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.010092933662235737,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,warmth,0.05,-9.125,0.375,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.010092933662235737,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,warmth,0.05,-8.625,0.25,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,3.595186233520508,0.9276873608781873,0.010092933662235737,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,warmth,0.1,10.625,0.5,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.019281994551420212,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,warmth,0.1,10.875,0.5,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.020214930176734924,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,warmth,0.1,11.25,0.5,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.020214930176734924,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,warmth,0.1,10.375,1.0,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.020214930176734924,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.1,-7.5,0.875,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.020214930176734924,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.1,-8.375,0.75,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.020214930176734924,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,warmth,0.1,-8.875,0.625,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.020214930176734924,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,warmth,0.1,-8.25,0.625,warmth,warmth,target,,raw,additive,sd_matched,3.8754287113679715,7.190372467041016,1.8553747217563745,0.020214930176734924,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,-0.1,9.375,-0.75,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.013076795265078545,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,-0.1,10.0,-0.375,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.013836340047419071,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,competence,-0.1,10.375,-0.375,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.014133920893073082,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,competence,-0.1,8.5,-0.875,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.014133920893073082,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,-0.1,-8.25,0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.014133920893073082,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,-0.1,-9.125,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.014133920893073082,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,competence,-0.1,-9.375,0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.014133920893073082,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,competence,-0.1,-8.625,0.25,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-7.745210868261104,-1.8553747217563747,0.014133920893073082,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,-0.05,9.75,-0.375,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.006895261351019144,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,-0.05,10.125,-0.25,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.00867921207100153,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,competence,-0.05,10.625,-0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.00867921207100153,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,competence,-0.05,9.125,-0.25,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.00867921207100153,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,-0.05,-8.375,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.00867921207100153,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,-0.05,-9.25,-0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.00867921207100153,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,competence,-0.05,-9.5,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.00867921207100153,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,competence,-0.05,-8.75,0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,-3.872605434130552,-0.9276873608781874,0.00867921207100153,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,0.0,10.125,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,0.0,10.375,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,competence,0.0,10.75,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,competence,0.0,9.375,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,0.0,-8.375,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,0.0,-9.125,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,competence,0.0,-9.5,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,competence,0.0,-8.875,0.0,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,0.0,0.0,0.0,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,0.05,10.0,-0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.009317131713032722,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,0.05,10.25,-0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.0107444291934371,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,competence,0.05,10.875,0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.0107444291934371,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,competence,0.05,9.75,0.375,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.0107444291934371,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,0.05,-7.875,0.5,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.0107444291934371,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,0.05,-8.875,0.25,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.0107444291934371,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,competence,0.05,-9.25,0.25,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.0107444291934371,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,competence,0.05,-8.5,0.375,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,3.872605434130552,0.9276873608781874,0.0107444291934371,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,0.1,10.0,-0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02264249324798584,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,0.1,10.125,-0.25,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02334248460829258,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,competence,0.1,10.625,-0.125,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02334248460829258,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,competence,0.1,9.625,0.25,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02334248460829258,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,0.1,-7.625,0.75,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02334248460829258,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,0.1,-8.5,0.625,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02334248460829258,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,competence,0.1,-8.75,0.75,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02334248460829258,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,competence,0.1,-8.25,0.625,warmth,competence,cross_axis,,raw,additive,sd_matched,4.174472562032734,7.745210868261104,1.8553747217563747,0.02334248460829258,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,random_000,-0.1,10.0,-0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00015353811613749713,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,random_000,-0.1,10.25,-0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00015694052854087204,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,random_000,-0.1,10.875,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00015694052854087204,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,random_000,-0.1,9.5,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00017917741206474602,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,random_000,-0.1,-8.25,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00017917741206474602,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,random_000,-0.1,-9.25,-0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00017917741206474602,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,random_000,-0.1,-9.5,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00017917741206474602,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,random_000,-0.1,-8.75,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.4284375463481364,-1.8553747217563745,0.00017917741206474602,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,random_000,-0.05,10.0,-0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,5.5891596275614575e-05,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,random_000,-0.05,10.375,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,5.5891596275614575e-05,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,random_000,-0.05,10.75,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,5.5891596275614575e-05,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,random_000,-0.05,9.5,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,5.5891596275614575e-05,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,random_000,-0.05,-8.25,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,6.675448821624741e-05,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,random_000,-0.05,-9.125,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,6.675448821624741e-05,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,random_000,-0.05,-9.375,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,6.675448821624741e-05,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,random_000,-0.05,-8.625,0.25,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,-0.2142187731740682,-0.9276873608781873,6.891399243613705e-05,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,random_000,0.0,10.125,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,random_000,0.0,10.375,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,random_000,0.0,10.75,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,random_000,0.0,9.375,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,random_000,0.0,-8.375,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,random_000,0.0,-9.125,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,random_000,0.0,-9.5,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,random_000,0.0,-8.875,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.0,0.0,0.0,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,random_000,0.05,10.125,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,5.233162301010452e-05,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,random_000,0.05,10.375,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,5.233162301010452e-05,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,random_000,0.05,10.875,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,5.437338768388145e-05,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,random_000,0.05,9.5,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,5.437338768388145e-05,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,random_000,0.05,-8.25,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,6.28341585979797e-05,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,random_000,0.05,-9.25,-0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,6.28341585979797e-05,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,random_000,0.05,-9.375,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,6.28341585979797e-05,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,random_000,0.05,-8.75,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.2142187731740682,0.9276873608781873,6.373602809617296e-05,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,random_000,0.1,10.125,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.00013904095976613462,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,random_000,0.1,10.125,-0.25,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.00013904095976613462,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,random_000,0.1,10.75,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.00013904095976613462,False
steering,warmth,high_warmth_t049_s00120,49,high_warmth,1,random_000,0.1,9.5,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.000165570032550022,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,random_000,0.1,-8.25,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.000165570032550022,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,random_000,0.1,-9.25,-0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.000165570032550022,False
steering,warmth,low_warmth_t015_s00061,15,low_warmth,0,random_000,0.1,-9.375,0.125,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.000165570032550022,False
steering,warmth,low_warmth_t049_s00121,49,low_warmth,0,random_000,0.1,-8.875,0.0,warmth,,random,000,raw,additive,sd_matched,0.23091699014987102,0.4284375463481364,1.8553747217563745,0.000165570032550022,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,random_001,-0.1,10.0,-0.125,warmth,,random,001,raw,additive,sd_matched,0.20470869257375143,-0.3798113335251353,-1.8553747217563745,0.0002408066502539441,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,random_001,-0.1,10.25,-0.125,warmth,,random,001,raw,additive,sd_matched,0.20470869257375143,-0.3798113335251353,-1.8553747217563745,0.0002533767546992749,False
steering,warmth,high_warmth_t015_s00060,15,high_warmth,1,random_001,-0.1,10.875,0.125,warmth,,random,001,raw,additive,sd_matched,0.20470869257375143,-0.3798113335251353,-1.8553747217563745,0.00026097928639501333,False
